text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @_webshareztv: @Diane1Queen @luisalarosa @HARRYS1DEMPIRE @IreneVarMex @ME_1b @Mechis_M @Governor8358621 @Aluddin19 @GRAHAM15583070 @ital…,FALSE,0,NA,2021-12-06 3:38:53,FALSE,NA,1467700044530950146,NA,"<a href=""http://twitter.com/sbbexpo"" rel=""nofollow"">#SBBRT</a>",SBBExpo,4,TRUE,FALSE,NA,NA
RT @tillytiat: Plenty of lashes at the shop! Stock up for the holiday only $3.50 and they ship in one day! https://t.co/aLLjBcKIGH #BuyBlac…,FALSE,0,NA,2021-12-06 3:38:14,FALSE,NA,1467699879178915846,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SincerelySteppi,4,TRUE,FALSE,NA,NA
RT @essaydavila: #rip to my sister I love u &amp; miss u #BlackLivesMatter #lifetoshot 😇😢😇😢 https://t.co/HirEkGpwb3,FALSE,0,NA,2021-12-06 3:37:52,FALSE,NA,1467699788481241090,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",KymBrown67,3,TRUE,FALSE,NA,NA
"How Atatiana Jefferson's Death Inspired Sex Offender Registry Segment

Watch: https://t.co/Mey9dHfobI… https://t.co/dOeFeDo5C2",FALSE,0,NA,2021-12-06 3:36:19,TRUE,NA,1467699396259287040,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",OrlandezJohnson,1,FALSE,FALSE,NA,NA
"RT @aaanmarkaz: Absolutely was an incredible conference under difficult #COVID19 circumstances. 

Thanks to the organizers for keeping ever…",FALSE,0,NA,2021-12-06 3:35:58,FALSE,NA,1467699310951292932,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Oldmantankie,4,TRUE,FALSE,NA,NA
"RT @TribalArmy: ""25% Dalits in the US report having faced verbal or physical assault, acc to research by Equality Labs, an organization ded…",FALSE,0,NA,2021-12-06 3:35:44,FALSE,NA,1467699248942616577,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sumanchandrawat,41,TRUE,FALSE,NA,NA
"✨J. Cole trending &amp; I was already on it! 

🥂Shoutout to #NorthCarolina! 

Reminding you to Love Yours!
🖤👑💯🌈✊🏾 #love… https://t.co/2sigEbVgTF",FALSE,1,NA,2021-12-06 3:35:30,TRUE,NA,1467699190260289542,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",YoitsMoTho,0,FALSE,FALSE,NA,NA
RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…,FALSE,0,NA,2021-12-06 3:35:25,FALSE,NA,1467699170676862977,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",itnoj73,649,TRUE,FALSE,NA,NA
"RT @aaanmarkaz: Absolutely was an incredible conference under difficult #COVID19 circumstances. 

Thanks to the organizers for keeping ever…",FALSE,0,NA,2021-12-06 3:34:32,FALSE,NA,1467698946877190146,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BrotherFlourish,4,TRUE,FALSE,NA,NA
"Absolutely was an incredible conference under difficult #COVID19 circumstances. 

Thanks to the organizers for keep… https://t.co/1I5LmNBT9b",FALSE,5,NA,2021-12-06 3:34:10,TRUE,NA,1467698856917938179,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aaanmarkaz,4,FALSE,FALSE,NA,NA
