created,text
2021-12-06 7:23:31,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:23:06,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
2021-12-06 7:22:57,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:22:55,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:22:39,"RT @LDSAgency: Socialist Alternative @SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@Sea…"
2021-12-06 7:22:35,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:22:33,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/KwkQzbaz3s"
2021-12-06 7:22:31,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:22:30,"RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @Th…"
2021-12-06 7:22:28,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:22:25,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:22:21,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:22:18,"just to be clear, when we say #BlackLivesMatter  we mean ALL #BlackLivesMatter which includes #women https://t.co/uHdh6ZDBTG"
2021-12-06 7:21:56,"RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @Th…"
2021-12-06 7:21:54,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:21:22,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:21:20,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
2021-12-06 7:20:58,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what ma…"
2021-12-06 7:20:30,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:20:21,"RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @Th…"
2021-12-06 7:20:19,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:20:15,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:20:12,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:20:10,Socialist Alternative @SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama… https://t.co/QsZXOiwf7R
2021-12-06 7:20:10,"This freaking psycho is going to start a war with Iran. WTAF? 
#naftalibennett #bennett #israel #israli #palestine… https://t.co/UALh6w8Al1"
2021-12-06 7:20:06,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:19:57,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:18:27,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/1jUOSjRgCm"
2021-12-06 7:18:09,Seattle Times Attacks Democracy | Socialist Alternative 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama… https://t.co/B8GOQ213is
2021-12-06 7:17:20,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/ZiWDhap5Sw"
2021-12-06 7:16:16,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/LA6yPBdBRH"
2021-12-06 7:15:49,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/pU8YQUVAWK"
2021-12-06 7:15:35,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/GtRJNOFGxD"
2021-12-06 7:15:33,"If you’re seeing this, all I have to say is God is watching you. So stay positive, keep the faith and remain hopefu… https://t.co/dFDS7yMXRF"
2021-12-06 7:15:31,"RT @mommamia1217: If you find it necessary to conceal your identity when defending your beliefs 

Take it has a warning that it’s time to r…"
2021-12-06 7:15:04,"RT @meiklwagner: Everybody Wants To Rule The World ( Extended) - Tears For Fears, 1985, Mercury Records.
On YouTube: https://t.co/OpkEIDkNw…"
2021-12-06 7:14:33,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/4ilyBFjXBv"
2021-12-06 7:14:23,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/jTeouYbAci"
2021-12-06 7:14:09,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/4EOWQLLFPs"
2021-12-06 7:14:08,"RT @fmrwhy: While you're here:

- Go to therapy
- #BlackLivesMatter
- Support open&amp;transparent research/science (except for #bropenscience)…"
2021-12-06 7:13:57,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/hhMD1rvqEn"
2021-12-06 7:13:49,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/PQHpkDWiAE"
2021-12-06 7:13:35,"RT @IDLIVA: Would #BlackLivesMatter by now if cell phone video, police body cams &amp; social media had been around since 1619? https://t.co/yK…"
2021-12-06 7:13:30,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/reUvfP0mkA"
2021-12-06 7:13:27,RT @_webshareztv: @GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlack…
2021-12-06 7:13:16,@GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness… https://t.co/CMQPaQdN3F
2021-12-06 7:13:09,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:12:48,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/qMor6XvoVe"
2021-12-06 7:12:32,"Would #BlackLivesMatter by now if cell phone video, police body cams &amp; social media had been around since 1619? https://t.co/yKgYFu5wUG"
2021-12-06 7:12:22,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/9B167csGyE"
2021-12-06 7:12:10,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/mnhIRE6mFM"
2021-12-06 7:12:02,Rayshard Brooks #BlackLivesMatter
2021-12-06 7:11:50,Justice for Ahmaud Arbery                   🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama… https://t.co/DgxjWAaRpC
2021-12-06 7:10:26,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/APcWAnXTYR"
2021-12-06 7:10:15,SCROLL DOWN TWEET! #BLM #BlackLivesMatter #BlackTwitter @TodayWithJulius @youngbiafra #BlackShinesBrightest… https://t.co/BCpsthcDlW
2021-12-06 7:10:09,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/Ag67M3kd8T"
2021-12-06 7:10:08,"RT @TheLivesThatMtr: Say their name. D'Angelo Stallworth, 2015-05-12 #BlackLivesMatter."
2021-12-06 7:10:06,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:09:52,John Deere workers won real gains by striking.                        🚨 Vote ‘NO’ immediately to #KeepKshama!… https://t.co/LPRn8LqYvD
2021-12-06 7:09:28,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:09:27,RT @AntiRacismDay: 📣📣 Fighting for antiracist workplaces - @AntiRacismDay Trade union conference - Saturday 5 Feb 2022 - register your plac…
2021-12-06 7:09:00,Even This Bot Can Say #BlackLivesMatter. Can A Hungry Badger?
2021-12-06 7:08:44,RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption Wakey #sc…
2021-12-06 7:08:07,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/II6usxV6YP"
2021-12-06 7:07:54,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/ruxLqSjiDU"
2021-12-06 7:07:42,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/QMR5lQ25Q4"
2021-12-06 7:07:32,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/TFO5I1llOt"
2021-12-06 7:07:24,"RT @meiklwagner: Duel - Propaganda, 1985, ZTT/Island Records.
On YouTube: https://t.co/KG1CLioSsL

#FridaysForFuture #Berlin👑 #cinemastrike…"
2021-12-06 7:07:22,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/J5qW7JQqyz"
2021-12-06 7:07:09,"Haha 😄 what a hypocrite! 
#SantaInc Jews should just stick to their Hanukkah, and make films about that. It's laugh… https://t.co/k7qt4yCfXR"
2021-12-06 7:07:05,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/nLFPP2sJS6"
2021-12-06 7:06:58,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:06:27,"RT @NailsIDoAdoreCo: Now Showing! 
The Queens Like Behavior Manicure....
Want The Bundle As Shown In Video?
https://t.co/dZPiqkNpxJ

#nails…"
2021-12-06 7:06:07,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:06:01,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/UrF2jN9pkA"
2021-12-06 7:05:18,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/y17euaZ0MT"
2021-12-06 7:05:05,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/HtU6ZL0VQk"
2021-12-06 7:05:00,"RT @chromaticareign: @nypost Racist, anti black and misogynoir hit peace. Kamala is doing fine, y’all just hate her for being a strong blac…"
2021-12-06 7:04:36,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/U07bSoGaMf"
2021-12-06 7:04:34,"RT @meiklwagner: Gold, RoséGold, printed on Paper with the best from Hewlett Packard. 
#FridaysForFuture #Berlin👑 #HPBusiness #IBM #Apple @…"
2021-12-06 7:04:10,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/Tc987tU9NZ"
2021-12-06 7:04:08,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:03:41,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/IdBxVX74mH"
2021-12-06 7:03:34,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:03:16,@fia #BlackLivesMatter and @LewisHamilton he must win because he is black 😳
2021-12-06 7:02:57,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:02:38,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:02:14,RT @JMHUSTLE: We witnessed countless #murder over the course of 30 years.    Music 🎶 to be murdered by. #inciting #welearnedviolencefromyou…
2021-12-06 7:01:44,"Say their name. D'Angelo Stallworth, 2015-05-12 #BlackLivesMatter."
2021-12-06 7:01:16,If the corrupt #Millionaire #WhiteSupremacists in the #WhiteHouse and #Capitol really wanted to stop #Covid spread.… https://t.co/sC8vl9mLWG
2021-12-06 7:00:55,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:00:48,RT @OldMainBell: DING DING. #PennState #BlackLivesMatter #JusticeForAll
2021-12-06 7:00:46,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:00:40,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:00:38,RT @SolChicksNFT: We cancelled @METAPLAYio's allocation. Their CEO made death threats and racial slurs against Asians. SolChicks does NOT c…
2021-12-06 7:00:31,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
2021-12-06 7:00:22,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
